epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,18515.9,1.58557,2.7021,2.44387,0.01616,1.5229,0.47095,0.4102,0.39136,0.21851,0.46716,0.38724,0.36325,0.1909,1.68001,2.72243,2.49242,0.02575,0,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,19313.4,1.57263,2.67964,2.41511,0.01626,1.49488,0.45826,0.40297,0.38971,0.22214,0.45562,0.38534,0.36659,0.19819,1.65988,2.68544,2.46699,0.02532,0,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,20112.1,1.56587,2.67269,2.39515,0.01596,1.50538,0.49033,0.41134,0.40355,0.22863,0.47775,0.39117,0.37888,0.2052,1.67697,2.70459,2.44579,0.02552,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,20910.7,1.55317,2.65207,2.38772,0.01573,1.4786,0.48592,0.41648,0.41418,0.23835,0.47636,0.39799,0.38639,0.21122,1.6461,2.6657,2.39378,0.02502,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,21708.2,1.55579,2.63304,2.34968,0.01571,1.45438,0.4966,0.42133,0.41528,0.24154,0.49598,0.40149,0.39102,0.21188,1.64899,2.69442,2.40418,0.02466,0,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,22504.8,1.55046,2.63206,2.34108,0.01577,1.44386,0.49011,0.42138,0.4172,0.24077,0.48706,0.39921,0.39344,0.21124,1.64938,2.64869,2.36842,0.02483,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,23300.3,1.55125,2.59949,2.32302,0.01563,1.43134,0.51637,0.42134,0.42829,0.2466,0.50334,0.40668,0.40114,0.21824,1.6265,2.62067,2.3687,0.02458,0,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,24098.2,1.54121,2.60754,2.32051,0.01552,1.4339,0.50886,0.43624,0.43283,0.25213,0.50702,0.41709,0.41049,0.22304,1.6321,2.65194,2.35883,0.02465,0,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,24895.7,1.5278,2.56824,2.29568,0.01553,1.40442,0.51292,0.43367,0.4413,0.25418,0.50839,0.41562,0.41408,0.22536,1.63743,2.62072,2.31956,0.02472,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,25692.2,1.52628,2.57676,2.27656,0.01542,1.38154,0.52329,0.43048,0.4379,0.25606,0.51197,0.41674,0.41463,0.22606,1.61005,2.62119,2.31984,0.02422,0,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,26488.2,1.51696,2.54532,2.26005,0.01532,1.39464,0.51319,0.44174,0.4444,0.26232,0.52349,0.41038,0.41593,0.23254,1.61563,2.60939,2.32788,0.02421,0,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,27285.8,1.51968,2.53247,2.2475,0.0154,1.3703,0.52483,0.43725,0.4445,0.25933,0.50876,0.42549,0.4189,0.22798,1.62869,2.61125,2.28803,0.02445,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,28082.6,1.51553,2.53156,2.23964,0.0152,1.36873,0.52753,0.44846,0.45414,0.26978,0.52382,0.42609,0.42398,0.233,1.60067,2.60704,2.29549,0.02387,0,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,28879.4,1.51108,2.51241,2.22117,0.01522,1.3643,0.52318,0.4498,0.45172,0.26576,0.50776,0.43526,0.42651,0.23272,1.60284,2.56891,2.27704,0.02401,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,29675.9,1.49654,2.49826,2.19088,0.01511,1.35137,0.53886,0.45237,0.46281,0.27502,0.52813,0.43351,0.43404,0.23971,1.59406,2.58972,2.26103,0.02356,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,30473.9,1.49314,2.48839,2.18192,0.015,1.32624,0.55958,0.43881,0.46392,0.27612,0.56137,0.421,0.43702,0.24176,1.59663,2.56763,2.25426,0.02387,0,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,31270.8,1.49709,2.4687,2.17438,0.015,1.3182,0.5573,0.44761,0.46926,0.27889,0.55105,0.43158,0.44026,0.24181,1.59322,2.57755,2.2323,0.02366,0,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,32069,1.49153,2.48303,2.1822,0.01487,1.32258,0.55019,0.45332,0.47124,0.2841,0.53983,0.44306,0.44759,0.24898,1.58648,2.56192,2.22426,0.02342,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,32866.5,1.47734,2.45884,2.13455,0.01478,1.29922,0.54804,0.46237,0.47579,0.28424,0.55068,0.43779,0.44901,0.25114,1.57136,2.54757,2.21187,0.0232,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
